FedEx Express U.S. Package Retail Counter Rates: FedEx 2Day®,,,,,,,,,,
"Effective 01/05/2009",,,,,,,,,,

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
139,$130.66 ,$150.12 ,$193.21 ,$276.61 ,$444.80 ,$478.16 ,$489.28 ,$497.62 ,$501.79 ,$265.49 
140,$131.60 ,$151.20 ,$194.60 ,$278.60 ,$448.00 ,$481.60 ,$492.80 ,$501.20 ,$505.40 ,$267.40 
141,$132.54 ,$152.28 ,$195.99 ,$280.59 ,$451.20 ,$485.04 ,$496.32 ,$504.78 ,$509.01 ,$269.31 
142,$133.48 ,$153.36 ,$197.38 ,$282.58 ,$454.40 ,$488.48 ,$499.84 ,$508.36 ,$512.62 ,$271.22 
143,$134.42 ,$154.44 ,$198.77 ,$284.57 ,$457.60 ,$491.92 ,$503.36 ,$511.94 ,$516.23 ,$273.13 
144,$135.36 ,$155.52 ,$200.16 ,$286.56 ,$460.80 ,$495.36 ,$506.88 ,$515.52 ,$519.84 ,$275.04 
145,$136.30 ,$156.60 ,$201.55 ,$288.55 ,$464.00 ,$498.80 ,$510.40 ,$519.10 ,$523.45 ,$276.95 
146,$137.24 ,$157.68 ,$202.94 ,$290.54 ,$467.20 ,$502.24 ,$513.92 ,$522.68 ,$527.06 ,$278.86 
147,$138.18 ,$158.76 ,$204.33 ,$292.53 ,$470.40 ,$505.68 ,$517.44 ,$526.26 ,$530.67 ,$280.77 
148,$139.12 ,$159.84 ,$205.72 ,$294.52 ,$473.60 ,$509.12 ,$520.96 ,$529.84 ,$534.28 ,$282.68 
149,$140.06 ,$160.92 ,$207.11 ,$296.51 ,$476.80 ,$512.56 ,$524.48 ,$533.42 ,$537.89 ,$284.59 
150,$141.00 ,$162.00 ,$208.50 ,$298.50 ,$480.00 ,$516.00 ,$528.00 ,$537.00 ,$541.50 ,$286.50 


Multiweight/Per-Pound Counter Rates (multiply by total shipment weight)										

Weight,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8, Zone 9-10 , Zone 11-12 ,Zone 13-16
100-499,$0.94 ,$1.08 ,$1.39 ,$1.99 ,$3.20 ,$3.44 ,$3.52 ,$3.58 ,$3.61 ,$1.91 
500-999,$0.92 ,$1.06 ,$1.37 ,$1.97 ,$3.18 ,$3.42 ,$3.50 ,$3.56 ,$3.59 ,$1.89 
1000-1999,$0.90 ,$1.04 ,$1.35 ,$1.95 ,$3.16 ,$3.40 ,$3.48 ,$3.54 ,$3.57 ,$1.87 
2000+,$0.88 ,$1.02 ,$1.33 ,$1.93 ,$3.14 ,$3.38 ,$3.46 ,$3.52 ,$3.55 ,$1.85 


See the FedEx Service Guide for additional fee and surcharge information. ,,,,,,,,,,
